File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 18
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | A#2 000 | === 000 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | G-1 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | A-4 000 | ... 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | A#4 000 | ... 000 | ... 000 | ... 000
07 | === 000 | ... 000 | ... 000 | ... 000
08 | E-5 000 | C-5 000 | G-4 000 | ... 000
09 | F-5 000 | === 000 | === 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | E-5 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | D-5 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | ... 473 | ... 000 | ... 000 | ... 000
11 | ... 473 | ... 000 | ... 000 | ... 000
12 | G-5 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000 | ... 000
14 | C-5 000 | ... 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | E-4 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | C-3 000 | E-4 000 | C-5 000 | ... 000
19 | ... 000 | === 000 | === 000 | ... 000
1A | F-4 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | G-4 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | A-4 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | A#4 000 | D#2 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | G-4 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | D#4 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | A-4 000 | === 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | F-4 000 | D#2 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | G-4 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | D#4 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | A#3 000 | === 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-6 000 | F-2 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | G-5 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | F-5 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | G-5 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | C-5 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | A-4 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | F-6 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | G-6 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 19
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | D-3 F02 | G-3 000 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | === 000 | G-2 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | === 000 | ... 000 | ... 000
08 | F-3 000 | A#3 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | === 000 | ... 000 | ... 000
0C | === 000 | G-2 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | === 000 | ... 000 | ... 000
10 | G-3 000 | D#4 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | === 000 | ... 000 | ... 000
14 | === 000 | G-2 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | === 000 | ... 000 | ... 000
18 | ... 000 | G-2 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | === 000 | ... 000 | ... 000
1C | A-3 000 | D-4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | === 000 | ... 000 | ... 000
20 | === 000 | G-2 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | === 000 | ... 000 | ... 000
24 | ... 000 | G-2 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | === 000 | ... 000 | ... 000
28 | C-4 000 | F-4 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | === 000 | ... 000 | ... 000
2C | === 000 | G-2 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | === 000 | ... 000 | ... 000
30 | C-4 000 | F-4 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | D-4 000 | G-4 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | G-1 000 | G-2 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | G-1 000 | G-2 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 1A
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | A#5 000 | A#4 000 | ... 000 | ... 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | ... 000 | ... 000 | ... 000 | ... 000
04 | G-5 000 | G-4 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | A-5 000 | A-4 000 | ... 000 | ... 000
09 | ... 000 | ... 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | F-1 000 | F-2 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | ... 000 | ... 000
10 | ... 000 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | ... 000 | ... 000
14 | D-6 000 | A#4 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | A#5 000 | G-4 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | C-6 000 | A-4 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | A-5 000 | F-4 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | F-5 000 | C-4 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | C-3 000 | A#3 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | F-3 000 | C-4 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | C-4 000 | F-4 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | F-4 000 | A#4 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | A-4 000 | C-5 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | A#4 000 | D-5 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 1B
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | D-4 F02 | G-4 000 | ... 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | G-3 000 | ... 000 | ... 000
03 | ... 000 | === 000 | ... 000 | ... 000
04 | === 000 | G-3 000 | ... 000 | ... 000
05 | ... 000 | G-3 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | ... 000 | === 000 | ... 000 | ... 000
08 | F-4 000 | A#4 000 | ... 000 | ... 000
09 | ... 000 | G-3 000 | ... 000 | ... 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | === 000 | ... 000 | ... 000
0C | === 000 | G-3 000 | ... 000 | ... 000
0D | ... 000 | G-3 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | === 000 | ... 000 | ... 000
10 | G-4 000 | D#5 000 | ... 000 | ... 000
11 | ... 000 | G-3 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | === 000 | ... 000 | ... 000
14 | === 000 | G-3 000 | ... 000 | ... 000
15 | ... 000 | G-3 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | === 000 | ... 000 | ... 000
18 | ... 000 | G-3 000 | ... 000 | ... 000
19 | ... 000 | G-3 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | === 000 | ... 000 | ... 000
1C | A-4 000 | D-5 000 | ... 000 | ... 000
1D | ... 000 | G-3 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | === 000 | ... 000 | ... 000
20 | === 000 | G-3 000 | ... 000 | ... 000
21 | ... 000 | G-3 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | === 000 | ... 000 | ... 000
24 | ... 000 | G-3 000 | ... 000 | ... 000
25 | ... 000 | G-3 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | === 000 | ... 000 | ... 000
28 | C-5 000 | F-5 000 | ... 000 | ... 000
29 | ... 000 | G-3 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | === 000 | ... 000 | ... 000
2C | === 000 | G-3 000 | ... 000 | ... 000
2D | ... 000 | G-3 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | === 000 | ... 000 | ... 000
30 | C-5 000 | F-5 000 | ... 000 | ... 000
31 | ... 000 | G-3 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | D-5 000 | G-5 000 | ... 000 | ... 000
35 | ... 000 | G-3 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | G-2 000 | G-3 000 | ... 000 | ... 000
39 | ... 000 | G-3 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | G-2 000 | G-3 000 | ... 000 | ... 000
3D | ... 000 | G-3 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 1C
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | D#2 F04 | D#3 000 | A#6 000 | A#5 000
01 | ... 000 | ... 000 | A#6 000 | A#5 000
02 | ... 000 | ... 000 | G-6 000 | G-5 000
03 | ... 000 | ... 000 | G-6 000 | G-5 000
04 | ... 000 | ... 000 | D-6 000 | D-5 000
05 | ... 000 | ... 000 | D-6 000 | D-5 000
06 | ... 000 | ... 000 | A#6 000 | A#5 000
07 | ... 000 | ... 000 | A#6 000 | A#5 000
08 | ... 000 | ... 000 | G-6 000 | G-5 000
09 | ... 000 | ... 000 | G-6 000 | G-5 000
0A | ... 000 | ... 000 | A-6 000 | A-5 000
0B | ... 000 | ... 000 | A-6 000 | A-5 000
0C | ... 000 | ... 000 | F-6 000 | F-5 000
0D | ... 000 | ... 000 | F-6 000 | F-5 000
0E | ... 000 | ... 000 | C-6 000 | C-5 000
0F | ... 000 | ... 000 | C-6 000 | C-5 000
10 | ... 000 | ... 000 | A-6 000 | A-5 000
11 | ... 000 | ... 000 | A-6 000 | A-5 000
12 | ... 000 | ... 000 | F-6 000 | F-5 000
13 | ... 000 | ... 000 | F-6 000 | F-5 000
14 | ... 000 | ... 000 | G-6 000 | G-5 000
15 | ... 000 | ... 000 | G-6 000 | G-5 000
16 | ... 000 | ... 000 | D-6 000 | D-5 000
17 | ... 000 | ... 000 | D-6 000 | D-5 000
18 | ... 000 | ... 000 | A#5 000 | A#4 000
19 | ... 000 | ... 000 | A#5 000 | A#4 000
1A | ... 000 | ... 000 | G-6 000 | G-5 000
1B | ... 000 | ... 000 | G-6 000 | G-5 000
1C | ... 000 | ... 000 | D-6 000 | D-5 000
1D | ... 000 | ... 000 | D-6 000 | D-5 000
1E | ... 000 | ... 000 | F-6 000 | F-5 000
1F | ... 000 | ... 000 | F-6 000 | F-5 000
20 | ... 000 | ... 000 | C-6 000 | C-5 000
21 | ... 000 | ... 000 | C-6 000 | C-5 000
22 | ... 000 | ... 000 | A-5 000 | A-4 000
23 | ... 000 | ... 000 | A-5 000 | A-4 000
24 | ... 000 | ... 000 | A#5 000 | A#4 000
25 | ... 000 | ... 000 | A#5 000 | A#4 000
26 | ... 000 | ... 000 | F-5 000 | F-4 000
27 | ... 000 | ... 000 | F-5 000 | F-4 000
28 | ... 000 | ... 000 | G-5 000 | G-4 000
29 | ... 000 | ... 000 | G-5 000 | G-4 000
2A | ... 000 | ... 000 | C-5 000 | C-4 000
2B | ... 000 | ... 000 | C-5 000 | C-4 000
2C | ... 000 | ... 000 | D-5 000 | D-4 000
2D | ... 000 | ... 000 | D-5 000 | D-4 000
2E | ... 000 | ... 000 | A#4 000 | A#3 000
2F | ... 000 | ... 000 | A#4 000 | A#3 000
30 | ... 000 | ... 000 | F-4 000 | F-3 000
31 | ... 000 | ... 000 | F-4 000 | F-3 000
32 | ... 000 | ... 000 | G-4 000 | G-3 000
33 | ... 000 | ... 000 | G-4 000 | G-3 D00
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 1D
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | F-3 000 | C-4 000 | F-4 000 | A#4 F10
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | F-3 000 | A#3 000 | G-4 000 | C-5 000
04 | ... 000 | ... 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | C-4 000
07 | ... 000 | ... 000 | ... 000 | ... 000
08 | ... 000 | ... 000 | ... 000 | ... 000
09 | ... 000 | G-4 000 | A#4 000 | D#5 000
0A | ... 000 | ... 000 | ... 000 | ... 000
0B | ... 000 | ... 000 | ... 000 | ... 000
0C | ... 000 | ... 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | F-4 000 | F-5 F04
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | ... 000 | ... 000 | G-4 000 | G-5 000
10 | ... 000 | ... 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | A#4 000 | A#5 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | ... 000 | ... 000 | C-5 000 | C-6 000
14 | ... 000 | ... 000 | ... 000 | ... D00
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | ... 000 | ... 000 | ... 000 | ... 000
18 | ... 000 | ... 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | ... 000 | ... 000 | ... 000 | ... 000
1C | ... 000 | ... 000 | ... 000 | ... 000
1D | ... 000 | ... 000 | ... 000 | ... 000
1E | ... 000 | ... 000 | ... 000 | ... 000
1F | ... 000 | ... 000 | ... 000 | ... 000
20 | ... 000 | ... 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | ... 000 | ... 000 | ... 000 | ... 000
24 | ... 000 | ... 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | ... 000 | ... 000 | ... 000 | ... 000
28 | ... 000 | ... 000 | ... 000 | ... 000
29 | ... 000 | ... 000 | ... 000 | ... 000
2A | ... 000 | ... 000 | ... 000 | ... 000
2B | ... 000 | ... 000 | ... 000 | ... 000
2C | ... 000 | ... 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | ... 000 | ... 000 | ... 000 | ... 000
30 | ... 000 | ... 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | ... 000 | ... 000 | ... 000 | ... 000
34 | ... 000 | ... 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | ... 000 | ... 000 | ... 000 | ... 000
38 | ... 000 | ... 000 | ... 000 | ... 000
39 | ... 000 | ... 000 | ... 000 | ... 000
3A | ... 000 | ... 000 | ... 000 | ... 000
3B | ... 000 | ... 000 | ... 000 | ... 000
3C | ... 000 | ... 000 | ... 000 | ... 000
3D | ... 000 | ... 000 | ... 000 | ... 000
3E | ... 000 | ... 000 | ... 000 | ... 000
3F | ... 000 | ... 000 | ... 000 | ... 000

Order 1E
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-2 F02 | C-3 F02 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | === 000 | === 000 | ... 000 | ... 000
04 | G-2 000 | C-3 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | G-2 000 | C-3 000 | ... 000 | ... 000
09 | === 000 | === 000 | ... 000 | ... 000
0A | G-2 000 | C-3 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | G-2 000 | C-3 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | === 000 | === 000 | ... 000 | ... 000
10 | G-2 000 | C-3 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | === 000 | === 000 | ... 000 | ... 000
14 | G-2 000 | C-3 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | G-2 000 | C-3 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | G-2 000 | C-3 000 | ... 000 | ... 000
1D | === 000 | === 000 | ... 000 | ... 000
1E | G-2 000 | C-3 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | G-2 000 | C-3 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | === 000 | === 000 | ... 000 | ... 000
24 | G-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | G-2 000 | C-3 000 | ... 000 | ... 000
29 | === 000 | === 000 | ... 000 | ... 000
2A | G-2 000 | C-3 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | G-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | G-2 000 | C-3 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | === 000 | === 000 | ... 000 | ... 000
34 | G-2 000 | C-3 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | === 000 | === 000 | ... 000 | ... 000
38 | G-2 000 | C-3 000 | ... 000 | ... 000
39 | === 000 | === 000 | ... 000 | ... 000
3A | G-2 000 | C-3 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | G-2 000 | C-3 000 | ... 000 | ... 000
3D | === 000 | === 000 | ... 000 | ... 000
3E | G-2 000 | C-3 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 1E
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-2 F02 | C-3 F02 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | === 000 | === 000 | ... 000 | ... 000
04 | G-2 000 | C-3 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | G-2 000 | C-3 000 | ... 000 | ... 000
09 | === 000 | === 000 | ... 000 | ... 000
0A | G-2 000 | C-3 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | G-2 000 | C-3 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | === 000 | === 000 | ... 000 | ... 000
10 | G-2 000 | C-3 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | === 000 | === 000 | ... 000 | ... 000
14 | G-2 000 | C-3 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | G-2 000 | C-3 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | G-2 000 | C-3 000 | ... 000 | ... 000
1D | === 000 | === 000 | ... 000 | ... 000
1E | G-2 000 | C-3 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | G-2 000 | C-3 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | === 000 | === 000 | ... 000 | ... 000
24 | G-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | G-2 000 | C-3 000 | ... 000 | ... 000
29 | === 000 | === 000 | ... 000 | ... 000
2A | G-2 000 | C-3 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | G-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | G-2 000 | C-3 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | === 000 | === 000 | ... 000 | ... 000
34 | G-2 000 | C-3 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | === 000 | === 000 | ... 000 | ... 000
38 | G-2 000 | C-3 000 | ... 000 | ... 000
39 | === 000 | === 000 | ... 000 | ... 000
3A | G-2 000 | C-3 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | G-2 000 | C-3 000 | ... 000 | ... 000
3D | === 000 | === 000 | ... 000 | ... 000
3E | G-2 000 | C-3 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

